date,text
"21 дек 2025, 20:24",Страны ЕАЭС и Индонезия подписали соглашение о зоне свободной торговлиСтраны ЕАЭС и Индонезия подписали соглашение о зоне свободной торговли
"21 дек 2025, 06:00",Объем импорта золота из России в Китай обновил рекорд
"20 дек 2025, 14:00",В Госдуме допустили снижение ставки до 9% к концу 2026 годаВ Госдуме допустили снижение ставки до 9% к концу 2026 года
"20 дек 2025, 13:46",WSJ рассказала о перестройке заводов Германии на оборонкуWSJ рассказала о перестройке заводов Германии на оборонку
"20 дек 2025, 10:25",Экс-консультант Трампа оценил идею тоннеля между Аляской и РоссиейЭкс-консультант Трампа оценил идею тоннеля между Аляской и Россией
"19 дек 2025, 17:20",Набиуллина исключила снижение ключевой ставки «в режиме автопилота»Набиуллина исключила снижение ключевой ставки «в режиме автопилота»
"19 дек 2025, 17:15",Глава ЦБ спрогнозировала минимальный за пять лет рост ценГлава ЦБ спрогнозировала минимальный за пять лет рост цен
"19 дек 2025, 14:52","ЦБ указал, что компании планируют более умеренные индексации зарплатЦБ указал, что компании планируют более умеренные индексации зарплат"
"19 дек 2025, 13:44",Путин оценил работу ЦБ под постоянным давлениемПутин оценил работу ЦБ под постоянным давлением
"19 дек 2025, 13:36",Путин не поддержал идею о регулировании цен государствомПутин не поддержал идею о регулировании цен государством
"19 дек 2025, 13:34","Путин рассказал, снизят ли в России налогиПутин рассказал, снизят ли в России налоги"
"19 дек 2025, 12:45",Путин назвал снижение темпов роста экономики сознательным шагомПутин назвал снижение темпов роста экономики сознательным шагом
"18 дек 2025, 19:16",NYT узнала о предложениях Козака по экономической и судебной реформамNYT узнала о предложениях Козака по экономической и судебной реформам
"18 дек 2025, 15:16","Шохин спрогнозировал снижение ставки до 15,5% еще в 2025 годуШохин спрогнозировал снижение ставки до 15,5% еще в 2025 году"
"18 дек 2025, 13:25",Оружейная корпорация Rheinmetall продаст гражданские подразделенияОружейная корпорация Rheinmetall продаст гражданские подразделения
"18 дек 2025, 09:45",Умер бывший гендиректор самой крупной в мире горнодобывающей компании BHPУмер бывший гендиректор самой крупной в мире горнодобывающей компании BHP
"17 дек 2025, 18:11",Маршалловы острова первыми в мире ввели безусловный базовый доходМаршалловы острова первыми в мире ввели безусловный базовый доход
"17 дек 2025, 11:56",Китайский посол оценил степень готовности нового газопровода из РоссииКитайский посол оценил степень готовности нового газопровода из России
"16 дек 2025, 19:57","Доля контактных платежей по картам «Мир» в России упала ниже 1,5%Доля контактных платежей по картам «Мир» в России упала ниже 1,5%"
"16 дек 2025, 09:15",Китай лишил контрацептивы льгот на фоне замедления роста населенияКитай лишил контрацептивы льгот на фоне замедления роста населения
"16 дек 2025, 08:19",Посольство России в Мексике предупредило о возможном ответе на тарифыПосольство России в Мексике предупредило о возможном ответе на тарифы
"16 дек 2025, 07:02",Министр ЕЭК заявил о снижении пошлин на поставки в Индонезию в пять разМинистр ЕЭК заявил о снижении пошлин на поставки в Индонезию в пять раз
"15 дек 2025, 16:22",FT узнала подробности перепрофилирования завода Volkswagen в ДрезденеFT узнала подробности перепрофилирования завода Volkswagen в Дрездене
"15 дек 2025, 07:31",Воробьев назвал три «золотых ключика» экономики Подмосковья
"13 дек 2025, 06:00",Эксперты назвали отрасли с максимальным приростом числа вакансийЭксперты назвали отрасли с максимальным приростом числа вакансий
"12 дек 2025, 22:47",ЕС связал возвращение активов России с рисками экономики ЕвропыЕС связал возвращение активов России с рисками экономики Европы
"12 дек 2025, 20:40",Бельгия изменила решение по долгосрочной заморозке активов РоссииБельгия изменила решение по долгосрочной заморозке активов России
"12 дек 2025, 17:47",Euractiv узнал о требовании Бельгии разорвать инвестдоговоры ЕС с РоссиейEuractiv узнал о требовании Бельгии разорвать инвестдоговоры ЕС с Россией
"12 дек 2025, 09:14",ЦБ заявил о «безусловном оспаривании» решений ЕС по активам России ЦБ заявил о «безусловном оспаривании» решений ЕС по активам России
"11 дек 2025, 18:53",Большинство стран ЕС согласились на бессрочную заморозку активов РоссииБольшинство стран ЕС согласились на бессрочную заморозку активов России
"11 дек 2025, 17:18","В ЦБ заявили, что обсуждают с банками отключение Visa и MastercardВ ЦБ заявили, что обсуждают с банками отключение Visa и Mastercard"
"11 дек 2025, 09:34",Reuters сообщил об увеличении Индией закупок нефти из РоссииReuters сообщил об увеличении Индией закупок нефти из России
"11 дек 2025, 03:00","«Ромир» выяснил, сколько бургеров может купить россиянин«Ромир» выяснил, сколько бургеров может купить россиянин"
"10 дек 2025, 15:37",В Airbus предсказали эпоху треугольных самолетов через 30–40 летВ Airbus предсказали эпоху треугольных самолетов через 30–40 лет
"10 дек 2025, 14:22",Алиханов рассказал об упрощении расчетов для туристов в ОАЭАлиханов рассказал об упрощении расчетов для туристов в ОАЭ
"10 дек 2025, 11:41",Греф спрогнозировал сдержанный рост экономики в следующем годуГреф спрогнозировал сдержанный рост экономики в следующем году
"10 дек 2025, 08:57",FT узнала о спешке ЕС в бессрочной заморозке активов РоссииFT узнала о спешке ЕС в бессрочной заморозке активов России
"09 дек 2025, 19:36",Путин связал рост тарифов ЖКХ с инфляциейПутин связал рост тарифов ЖКХ с инфляцией
"09 дек 2025, 16:04","NYT рассказала, почему «второй китайский шок» грозит протестами в АзииNYT рассказала, почему «второй китайский шок» грозит протестами в Азии"
"09 дек 2025, 15:48",Попавшие под санкции российские инвесторы подали иски к ЕС на €53 млрдПопавшие под санкции российские инвесторы подали иски к ЕС на €53 млрд
"09 дек 2025, 11:38",Минфин расширил условия льготной ипотеки для Дальнего ВостокаМинфин расширил условия льготной ипотеки для Дальнего Востока
"09 дек 2025, 11:38",Роскачество назвало лучшие игристые вина России по итогам года
