date,text
"11 янв, 23:55",Сергей Шишкарев оказался фигурантом расследования в ОАЭ Фото: Михаил Гребенщиков / РБК
"11 янв, 08:00",Выбытие емкостей и падение спроса: что ждет авиатранспорт в 2026 годуВыбытие емкостей и падение спроса: что ждет авиатранспорт в 2026 году
"10 янв, 13:05",Глава Exxon назвал Венесуэлу «непривлекательной» для инвестицийГлава Exxon назвал Венесуэлу «непривлекательной» для инвестиций
"10 янв, 06:43","NYT узнала, что Сергей Брин переносит свой бизнес из Калифорнии в Неваду"
"09 янв, 15:20",Rio Tinto и Glencore начали новые переговоры о слиянииRio Tinto и Glencore начали новые переговоры о слиянии
"09 янв, 11:04",Мишустин продлил упрощенный ввоз электроники в Россию до конца 2026 годаМишустин продлил упрощенный ввоз электроники в Россию до конца 2026 года
"06 янв, 09:49",FT узнала о блокировке облигаций Telegram в рамках санкций против РоссииFT узнала о блокировке облигаций Telegram в рамках санкций против России
"06 янв, 07:00",Аналитики назвали главные тренды развития АПК на 2026 годАналитики назвали главные тренды развития АПК на 2026 год
"06 янв, 05:00",Прагматичный набор: почему на полках в 2026 году будет меньше алкоголяПрагматичный набор: почему на полках в 2026 году будет меньше алкоголя
"05 янв, 07:03",Куда россияне поедут отдыхать за рубеж в 2026 годуКуда россияне поедут отдыхать за рубеж в 2026 году
"03 янв, 05:02",Трамп заблокировал сделку по полупроводникам ради нацбезопасности
"02 янв, 10:15","Богатейшие российские бизнесмены заработали в 2025 году почти $32,8 млрдБогатейшие российские бизнесмены заработали в 2025 году почти $32,8 млрд"
"01 янв, 16:56",В России начали выдавать чеки с новым НДСВ России начали выдавать чеки с новым НДС
"01 янв, 11:28","Маск заявил, что своими налогами сломал компьютер налоговой службы СШАМаск заявил, что своими налогами сломал компьютер налоговой службы США"
"31 дек 2025, 21:07","Богатейшие люди мира увеличили состояние на $2,2 трлн за годБогатейшие люди мира увеличили состояние на $2,2 трлн за год"
"31 дек 2025, 17:19",Баффетт отработал последний день на посту гендиректора Berkshire HathawayБаффетт отработал последний день на посту гендиректора Berkshire Hathaway
"30 дек 2025, 14:37",ФАС разрешила «Росспиртпрому» купить крупнейшего производителя водки
