date,text
"10 дек 2025, 12:00",ЦБ выявил бум на рынке облигаций с высоким риском убыткаЦБ выявил бум на рынке облигаций с высоким риском убытка
"10 дек 2025, 01:07",Количество крупных выплат по ОСАГО выросло на 37% за годКоличество крупных выплат по ОСАГО выросло на 37% за год
"10 дек 2025, 00:00",Задорнов предупредил о сценарии «чеховского ружья» для экономики РоссииЗадорнов предупредил о сценарии «чеховского ружья» для экономики России
"09 дек 2025, 15:03",Госдума приняла закон о доступе финразведки к операциям по картам «Мир»Госдума приняла закон о доступе финразведки к операциям по картам «Мир»
"09 дек 2025, 13:37",Приток валюты на вклады россиян оказался максимальным почти за два годаПриток валюты на вклады россиян оказался максимальным почти за два года
"08 дек 2025, 23:13",Путин продлил ограничения на покупку долей в иностранных компанияхПутин продлил ограничения на покупку долей в иностранных компаниях
"08 дек 2025, 18:19",Цена меди на бирже достигла исторического максимумаЦена меди на бирже достигла исторического максимума
"08 дек 2025, 12:35","ЦБ оценил годовую прибыль банков России почти в ₽3,5 трлнЦБ оценил годовую прибыль банков России почти в ₽3,5 трлн"
"08 дек 2025, 11:35",ЦБ назвал недопустимой роль банков как «окна» для зарубежного крипторынкаЦБ назвал недопустимой роль банков как «окна» для зарубежного крипторынка
"08 дек 2025, 10:56",ЦБ сообщил о доле подростков среди участников дропперских схемЦБ сообщил о доле подростков среди участников дропперских схем
"08 дек 2025, 09:32",ЦБ перенес срок внедрения нового норматива концентрации для банковЦБ перенес срок внедрения нового норматива концентрации для банков
"08 дек 2025, 00:01",ЦБ обяжет банки привязывать счета россиян к ИННЦБ обяжет банки привязывать счета россиян к ИНН
"07 дек 2025, 10:00",В ЦБ сообщили о резком снижении оборотов по картам дроповВ ЦБ сообщили о резком снижении оборотов по картам дропов
"07 дек 2025, 03:59",Как россияне в два раза сократили суммы валюты на вкладах. ИнфографикаКак россияне в два раза сократили суммы валюты на вкладах. Инфографика
"05 дек 2025, 10:46",ЦБ снимет ограничения на перевод денег за границу для россиян ЦБ снимет ограничения на перевод денег за границу для россиян
